LBTYB,NASDAQ,Liberty Global plc,25800000000.0,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/lbtyb,
LBTYK,NASDAQ,Liberty Global plc,24700000000.0,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/lbtyk,
LILA,NASDAQ,Liberty Global plc,3750000000.0,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/lila,
LILAK,NASDAQ,Liberty Global plc,3730000000.0,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/lilak,
LVNTA,NASDAQ,Liberty Interactive Corporation,4920000000.0,n/a,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/lvnta,
LVNTB,NASDAQ,Liberty Interactive Corporation,5130000000.0,n/a,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/lvntb,
QVCA,NASDAQ,Liberty Interactive Corporation,9720000000.0,n/a,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/qvca,
QVCB,NASDAQ,Liberty Interactive Corporation,10010000000.0,n/a,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/qvcb,
BATRK,NASDAQ,Liberty Media Corporation,1120000000.0,n/a,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/batrk,
FWONK,NASDAQ,Liberty Media Corporation,8770000000.0,n/a,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/fwonk,
LSXMK,NASDAQ,Liberty Media Corporation,13830000000.0,n/a,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/lsxmk,
LTRPA,NASDAQ,"Liberty TripAdvisor Holdings, Inc.",634220000.0,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/ltrpa,
LTRPB,NASDAQ,"Liberty TripAdvisor Holdings, Inc.",870270000.0,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/ltrpb,
LPNT,NASDAQ,"LifePoint Health, Inc.",1790000000.0,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/lpnt,
LGND,NASDAQ,Ligand Pharmaceuticals Incorporated,3090000000.0,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/lgnd,
LLNW,NASDAQ,"Limelight Networks, Inc.",605610000.0,2007,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/llnw,
LECO,NASDAQ,"Lincoln Electric Holdings, Inc.",5800000000.0,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/leco,
LIND,NASDAQ,Lindblad Expeditions Holdings Inc. ,469140000.0,2013,Consumer Services,Transportation Services,http://www.nasdaq.com/symbol/lind,
LFUS,NASDAQ,"Littelfuse, Inc.",4330000000.0,n/a,Consumer Durables,Electrical Products,http://www.nasdaq.com/symbol/lfus,
LIVN,NASDAQ,LivaNova PLC,3850000000.0,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/livn,
LOB,NASDAQ,"Live Oak Bancshares, Inc.",940750000.0,2015,Finance,Major Banks,http://www.nasdaq.com/symbol/lob,
LPSN,NASDAQ,"LivePerson, Inc.",672940000.0,2000,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/lpsn,
LKQ,NASDAQ,LKQ Corporation,11420000000.0,n/a,Consumer Services,Motor Vehicles,http://www.nasdaq.com/symbol/lkq,
LOGI,NASDAQ,Logitech International S.A.,5970000000.0,1997,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/logi,
LOGM,NASDAQ,"LogMein, Inc.",6410000000.0,2009,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/logm,
LORL,NASDAQ,"Loral Space and Communications, Inc.",1400000000.0,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/lorl,
LOXO,NASDAQ,"Loxo Oncology, Inc.",2600000000.0,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/loxo,
LPLA,NASDAQ,LPL Financial Holdings Inc.,4450000000.0,2010,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/lpla,
LULU,NASDAQ,lululemon athletica inc.,8160000000.0,2007,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/lulu,
LITE,NASDAQ,Lumentum Holdings Inc.,3470000000.0,n/a,Consumer Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/lite,
LMNX,NASDAQ,Luminex Corporation,945410000.0,2000,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/lmnx,
LMOS,NASDAQ,Lumos Networks Corp.,430270000.0,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/lmos,
MTSI,NASDAQ,"MACOM Technology Solutions Holdings, Inc.",2410000000.0,2012,Technology,Semiconductors,http://www.nasdaq.com/symbol/mtsi,
MGNX,NASDAQ,"MacroGenics, Inc.",658690000.0,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/mgnx,
MDGL,NASDAQ,"Madrigal Pharmaceuticals, Inc.",540810000.0,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/mdgl,
MGLN,NASDAQ,"Magellan Health, Inc.",1970000000.0,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/mgln,
MHLD,NASDAQ,"Maiden Holdings, Ltd.",723280000.0,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/mhld,
MSFG,NASDAQ,"MainSource Financial Group, Inc.",930470000.0,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/msfg,
MMYT,NASDAQ,MakeMyTrip Limited,2500000000.0,2010,Consumer Services,Transportation Services,http://www.nasdaq.com/symbol/mmyt,
MBUU,NASDAQ,"Malibu Boats, Inc.",580210000.0,2014,Capital Goods,Marine Transportation,http://www.nasdaq.com/symbol/mbuu,
TUSK,NASDAQ,"Mammoth Energy Services, Inc.",890930000.0,2016,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/tusk,
MANH,NASDAQ,"Manhattan Associates, Inc.",2840000000.0,1998,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/manh,
MANT,NASDAQ,ManTech International Corporation,1920000000.0,2002,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/mant,
MKTX,NASDAQ,"MarketAxess Holdings, Inc.",6680000000.0,2004,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/mktx,
MAR,NASDAQ,Marriott International,45020000000.0,n/a,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/mar,
MRTN,NASDAQ,"Marten Transport, Ltd.",1020000000.0,1986,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/mrtn,
MMLP,NASDAQ,Martin Midstream Partners L.P.,594000000.0,2002,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/mmlp,
MRVL,NASDAQ,Marvell Technology Group Ltd.,9980000000.0,2000,Technology,Semiconductors,http://www.nasdaq.com/symbol/mrvl,
MASI,NASDAQ,Masimo Corporation,4530000000.0,2007,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/masi,
MTCH,NASDAQ,"Match Group, Inc.",7050000000.0,2015,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/mtch,
MTLS,NASDAQ,Materialise NV,759100000.0,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/mtls,
MAT,NASDAQ,"Mattel, Inc.",4490000000.0,n/a,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/mat,
MATW,NASDAQ,Matthews International Corporation,1930000000.0,1994,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/matw,
MXIM,NASDAQ,"Maxim Integrated Products, Inc.",15400000000.0,1988,Technology,Semiconductors,http://www.nasdaq.com/symbol/mxim,
MZOR,NASDAQ,Mazor Robotics Ltd.,1540000000.0,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mzor,
MBFI,NASDAQ,MB Financial Inc.,3740000000.0,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/mbfi,
MCFT,NASDAQ,"MCBC Holdings, Inc.",413560000.0,2015,Capital Goods,Marine Transportation,http://www.nasdaq.com/symbol/mcft,
MGRC,NASDAQ,McGrath RentCorp,1120000000.0,1984,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/mgrc,
MDCA,NASDAQ,MDC Partners Inc.,524320000.00000006,n/a,Technology,Advertising,http://www.nasdaq.com/symbol/mdca,
MDSO,NASDAQ,"Medidata Solutions, Inc.",3850000000.0,2009,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/mdso,
MEDP,NASDAQ,"Medpace Holdings, Inc.",1400000000.0,2016,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/medp,
MLCO,NASDAQ,Melco Resorts & Entertainment Limited,12310000000.0,n/a,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/mlco,
MLNX,NASDAQ,"Mellanox Technologies, Ltd.",2320000000.0,2007,Technology,Semiconductors,http://www.nasdaq.com/symbol/mlnx,
MELI,NASDAQ,"MercadoLibre, Inc.",11730000000.0,2007,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/meli,
MBWM,NASDAQ,Mercantile Bank Corporation,573530000.0,1998,Finance,Major Banks,http://www.nasdaq.com/symbol/mbwm,
MERC,NASDAQ,Mercer International Inc.,926500000.0,n/a,Basic Industries,Paper,http://www.nasdaq.com/symbol/merc,
MBIN,NASDAQ,Merchants Bancorp,498070000.0,2017,Finance,Major Banks,http://www.nasdaq.com/symbol/mbin,
MRCY,NASDAQ,Mercury Systems Inc,2370000000.0,1998,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/mrcy,
EBSB,NASDAQ,"Meridian Bancorp, Inc.",1040000000.0,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ebsb,
VIVO,NASDAQ,Meridian Bioscience Inc.,618270000.0,1986,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/vivo,
MMSI,NASDAQ,"Merit Medical Systems, Inc.",1900000000.0,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mmsi,
MLAB,NASDAQ,"Mesa Laboratories, Inc.",492480000.0,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/mlab,
MESO,NASDAQ,Mesoblast Limited,428240000.0,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/meso,
CASH,NASDAQ,"Meta Financial Group, Inc.",831870000.0,1993,Finance,Savings Institutions,http://www.nasdaq.com/symbol/cash,
MEOH,NASDAQ,Methanex Corporation,4300000000.0,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/meoh,
MGEE,NASDAQ,MGE Energy Inc.,2240000000.0,n/a,Energy,Electric Utilities: Central,http://www.nasdaq.com/symbol/mgee,
MGPI,NASDAQ,"MGP Ingredients, Inc.",1240000000.0,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/mgpi,
MCHP,NASDAQ,Microchip Technology Incorporated,21090000000.0,1993,Technology,Semiconductors,http://www.nasdaq.com/symbol/mchp,
MU,NASDAQ,"Micron Technology, Inc.",50690000000.0,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/mu,
MSCC,NASDAQ,Microsemi Corporation,6240000000.0,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/mscc,
MSFT,NASDAQ,Microsoft Corporation,650110000000.0,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/msft,
MSTR,NASDAQ,MicroStrategy Incorporated,1530000000.0,1998,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/mstr,
MSEX,NASDAQ,Middlesex Water Company,708570000.0,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/msex,
MSBI,NASDAQ,"Midland States Bancorp, Inc.",589020000.0,2016,Finance,Major Banks,http://www.nasdaq.com/symbol/msbi,
MOFG,NASDAQ,"MidWestOne Financial Group, Inc.",417870000.0,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/mofg,
MIME,NASDAQ,Mimecast Limited,1790000000.0,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/mime,
MDXG,NASDAQ,"MiMedx Group, Inc",1380000000.0,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mdxg,
MB,NASDAQ,"MINDBODY, Inc.",1470000000.0,2015,Technology,EDP Services,http://www.nasdaq.com/symbol/mb,
MITL,NASDAQ,Mitel Networks Corporation,982260000.0,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/mitl,
MKSI,NASDAQ,"MKS Instruments, Inc.",5780000000.0,1999,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/mksi,
MINI,NASDAQ,"Mobile Mini, Inc.",1500000000.0,1994,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/mini,
MNTA,NASDAQ,"Momenta Pharmaceuticals, Inc.",1000000000.0,2004,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/mnta,
MOMO,NASDAQ,Momo Inc.,5590000000.0,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/momo,
MCRI,NASDAQ,"Monarch Casino & Resort, Inc.",815680000.0,1993,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/mcri,
MDLZ,NASDAQ,"Mondelez International, Inc.",61580000000.0,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/mdlz,
MGI,NASDAQ,"Moneygram International, Inc.",757350000.0,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/mgi,
MDB,NASDAQ,"MongoDB, Inc.",1460000000.0,2017,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/mdb,
MPWR,NASDAQ,"Monolithic Power Systems, Inc.",5130000000.0,2004,Technology,Semiconductors,http://www.nasdaq.com/symbol/mpwr,
TYPE,NASDAQ,Monotype Imaging Holdings Inc.,1000000000.0,2007,Technology,EDP Services,http://www.nasdaq.com/symbol/type,
MNRO,NASDAQ,"Monro, Inc. ",1580000000.0,1991,Consumer Services,Automotive Aftermarket,http://www.nasdaq.com/symbol/mnro,
MNST,NASDAQ,Monster Beverage Corporation,32880000000.000004,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/mnst,
MORN,NASDAQ,"Morningstar, Inc.",3690000000.0,2005,Finance,Investment Managers,http://www.nasdaq.com/symbol/morn,
MPAA,NASDAQ,"Motorcar Parts of America, Inc.",485820000.0,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/mpaa,
MPVD,NASDAQ,Mountain Province Diamonds Inc.,432660000.0,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/mpvd,
MTGE,NASDAQ,MTGE Investment Corp.,820920000.0,2011,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/mtge,
MTSC,NASDAQ,MTS Systems Corporation,893560000.0,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/mtsc,
LABL,NASDAQ,Multi-Color Corporation,1300000000.0,1987,Miscellaneous,Publishing,http://www.nasdaq.com/symbol/labl,
MYL,NASDAQ,Mylan N.V.,19640000000.0,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/myl,
MYOK,NASDAQ,"MyoKardia, Inc.",1380000000.0,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/myok,
MYRG,NASDAQ,"MYR Group, Inc.",547520000.0,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/myrg,
MYGN,NASDAQ,"Myriad Genetics, Inc.",2069999999.9999998,1995,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/mygn,
NANO,NASDAQ,Nanometrics Incorporated,691690000.0,1984,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/nano,
NH,NASDAQ,"NantHealth, Inc.",400040000.0,2016,Technology,EDP Services,http://www.nasdaq.com/symbol/nh,
NDAQ,NASDAQ,"Nasdaq, Inc.",12010000000.0,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/ndaq,
NTRA,NASDAQ,"Natera, Inc.",573210000.0,2015,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/ntra,
FIZZ,NASDAQ,National Beverage Corp.,4530000000.0,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/fizz,
NCMI,NASDAQ,"National CineMedia, Inc.",457750000.0,2007,Consumer Services,Advertising,http://www.nasdaq.com/symbol/ncmi,
NCOM,NASDAQ,National Commerce Corporation,591830000.0,2015,Finance,Major Banks,http://www.nasdaq.com/symbol/ncom,
NGHC,NASDAQ,National General Holdings Corp,2200000000.0,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/nghc,
NATI,NASDAQ,National Instruments Corporation,5910000000.0,1995,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/nati,
NRCIA,NASDAQ,National Research Corporation,847110000.0,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/nrcia,
NRCIB,NASDAQ,National Research Corporation,1300000000.0,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/nrcib,
EYE,NASDAQ,"National Vision Holdings, Inc.",2170000000.0,2017,Health Care,Ophthalmic Goods,http://www.nasdaq.com/symbol/eye,
NWLI,NASDAQ,"National Western Life Group, Inc.",1250000000.0,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/nwli,
BABY,NASDAQ,Natus Medical Incorporated,1420000000.0,2001,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/baby,
NAVI,NASDAQ,Navient Corporation,3180000000.0,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/navi,
NBTB,NASDAQ,NBT Bancorp Inc.,1590000000.0,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/nbtb,
NCSM,NASDAQ,"NCS Multistage Holdings, Inc.",928180000.0,2017,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/ncsm,
NKTR,NASDAQ,Nektar Therapeutics,4200000000.0,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/nktr,
NEOG,NASDAQ,Neogen Corporation,3080000000.0,1989,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/neog,
NEO,NASDAQ,"NeoGenomics, Inc.",687500000.0,n/a,Health Care,Precision Instruments,http://www.nasdaq.com/symbol/neo,
UEPS,NASDAQ,"Net 1 UEPS Technologies, Inc.",525440000.00000006,2005,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/ueps,
NTAP,NASDAQ,"NetApp, Inc.",12040000000.0,1995,Technology,Electronic Components,http://www.nasdaq.com/symbol/ntap,
NTES,NASDAQ,"NetEase, Inc.",40240000000.0,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ntes,
NFLX,NASDAQ,"Netflix, Inc.",84770000000.0,2002,Consumer Services,Consumer Electronics/Video Chains,http://www.nasdaq.com/symbol/nflx,
NTGR,NASDAQ,"NETGEAR, Inc.",1440000000.0,2003,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/ntgr,
NTCT,NASDAQ,"NetScout Systems, Inc.",2580000000.0,1999,Technology,EDP Services,http://www.nasdaq.com/symbol/ntct,
NBIX,NASDAQ,"Neurocrine Biosciences, Inc.",6580000000.0,1996,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/nbix,
NYMT,NASDAQ,"New York Mortgage Trust, Inc.",701560000.0,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/nymt,
NWS,NASDAQ,News Corporation,8390000000.000001,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/nws,
NWSA,NASDAQ,News Corporation,8230000000.0,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/nwsa,
NEWS,NASDAQ,"NewStar Financial, Inc.",499840000.0,2006,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/news,
NXEO,NASDAQ,"Nexeo Solutions, Inc.",702100000.0,n/a,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/nxeo,
NXST,NASDAQ,"Nexstar Media Group, Inc.",3020000000.0,2003,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/nxst,
NEXT,NASDAQ,NextDecade Corporation,1070000000.0000001,2015,Public Utilities,Oil & Gas Production,http://www.nasdaq.com/symbol/next,
EGOV,NASDAQ,NIC Inc.,1050000000.0,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/egov,
NICE,NASDAQ,NICE Ltd,5130000000.0,n/a,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/nice,
NCBS,NASDAQ,Nicolet Bankshares Inc.,539040000.0,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ncbs,
NITE,NASDAQ,Nightstar Therapeutics plc,625800000.0,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/nite,
NMIH,NASDAQ,NMI Holdings Inc,954800000.0,2013,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/nmih,
NNBR,NASDAQ,"NN, Inc.",738070000.0,1994,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/nnbr,
NDSN,NASDAQ,Nordson Corporation,7320000000.0,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/ndsn,
NTRS,NASDAQ,Northern Trust Corporation,21020000000.0,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ntrs,
NTRSP,NASDAQ,Northern Trust Corporation,423520000.0,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ntrsp,
NFBK,NASDAQ,"Northfield Bancorp, Inc.",807020000.0,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/nfbk,
NWBI,NASDAQ,"Northwest Bancshares, Inc.",1640000000.0,2009,Finance,Major Banks,http://www.nasdaq.com/symbol/nwbi,
NCLH,NASDAQ,Norwegian Cruise Line Holdings Ltd.,12630000000.0,2013,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/nclh,
NVMI,NASDAQ,Nova Measuring Instruments Ltd.,769740000.0,2000,Capital Goods,Electronic Components,http://www.nasdaq.com/symbol/nvmi,
NOVT,NASDAQ,Novanta Inc.,1770000000.0,n/a,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/novt,
NVCR,NASDAQ,NovoCure Limited,1820000000.0,2015,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/nvcr,
NUAN,NASDAQ,"Nuance Communications, Inc.",4310000000.0,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/nuan,
NTNX,NASDAQ,"Nutanix, Inc.",4360000000.0,2016,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ntnx,
NTRI,NASDAQ,NutriSystem Inc,1440000000.0,n/a,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/ntri,
NUVA,NASDAQ,"NuVasive, Inc.",2850000000.0,2004,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/nuva,
QQQX,NASDAQ,Nuveen NASDAQ 100 Dynamic Overwrite Fund,875360000.0,n/a,n/a,n/a,http://www.nasdaq.com/symbol/qqqx,
NVEE,NASDAQ,"NV5 Global, Inc.",596380000.0,2013,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/nvee,
NVEC,NASDAQ,NVE Corporation,421800000.0,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/nvec,
NVDA,NASDAQ,NVIDIA Corporation,127220000000.0,1999,Technology,Semiconductors,http://www.nasdaq.com/symbol/nvda,
NXPI,NASDAQ,NXP Semiconductors N.V.,39440000000.0,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/nxpi,
NXTM,NASDAQ,"NxStage Medical, Inc.",1740000000.0,2005,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/nxtm,
OCSL,NASDAQ,Oaktree Specialty Lending Corporation,809110000.0,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ocsl,
ORIG,NASDAQ,Ocean Rig UDW Inc.,2470000000.0,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/orig,
OCFC,NASDAQ,OceanFirst Financial Corp.,861080000.0,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ocfc,
OCLR,NASDAQ,"Oclaro, Inc.",1010000000.0,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/oclr,
ODP,NASDAQ,"Office Depot, Inc.",1600000000.0,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/odp,
OKTA,NASDAQ,"Okta, Inc.",2730000000.0,2017,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/okta,
ODFL,NASDAQ,"Old Dominion Freight Line, Inc.",9980000000.0,1991,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/odfl,
ONB,NASDAQ,Old National Bancorp,2370000000.0,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/onb,
OLLI,NASDAQ,"Ollie&#39;s Bargain Outlet Holdings, Inc.",2670000000.0,2015,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/olli,
OFLX,NASDAQ,"Omega Flex, Inc.",667270000.0,n/a,Capital Goods,Industrial Specialties,http://www.nasdaq.com/symbol/oflx,
OMER,NASDAQ,Omeros Corporation,673560000.0,2009,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/omer,
OMCL,NASDAQ,"Omnicell, Inc.",1780000000.0,2001,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/omcl,
ON,NASDAQ,ON Semiconductor Corporation,9110000000.0,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/on,
OTEX,NASDAQ,Open Text Corporation,8950000000.0,1996,Technology,EDP Services,http://www.nasdaq.com/symbol/otex,
OPK,NASDAQ,"Opko Health, Inc.",3690000000.0,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/opk,
OPTN,NASDAQ,"OptiNose, Inc.",697190000.0,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/optn,
OPB,NASDAQ,Opus Bank,930480000.0,2014,n/a,n/a,http://www.nasdaq.com/symbol/opb,
OSUR,NASDAQ,"OraSure Technologies, Inc.",822920000.0,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/osur,
ORBC,NASDAQ,ORBCOMM Inc.,719210000.0,2006,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/orbc,
ORBK,NASDAQ,Orbotech Ltd.,2520000000.0,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/orbk,
ORLY,NASDAQ,"O&#39;Reilly Automotive, Inc.",17760000000.0,1993,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/orly,
ORIT,NASDAQ,Oritani Financial Corp.,748060000.0,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/orit,
OFIX,NASDAQ,Orthofix International N.V.,933990000.0,1992,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/ofix,
